source,target
艾狄士食品（上海）有限公司,武汉马哥孛罗酒店
艾狄士食品（上海）有限公司,上海壹澳叁商业有限公司
艾狄士食品（上海）有限公司,深圳华侨城洲际大酒店
艾狄士食品（上海）有限公司,上海圣诺亚皇冠假日酒店
艾狄士食品（上海）有限公司,华尔登实业(南昌)喜来登酒店
艾狄士食品（上海）有限公司,上海恒乐餐饮有限公司猫头鹰浦东
艾狄士食品（上海）有限公司,珠海阳光咖啡
艾狄士食品（上海）有限公司,长沙北辰洲际酒店
艾狄士食品（上海）有限公司,德扬（上海）餐饮管理浦东分公司
艾狄士食品（上海）有限公司,上海意潮餐饮管理有限公司(帕尼)
艾狄士食品（上海）有限公司,魔藤（上海）餐饮有限公司
艾狄士食品（上海）有限公司,武汉晴川假日酒店
艾狄士食品（上海）有限公司,上海甫田贸易有限公司
艾狄士食品（上海）有限公司,棉花酒吧（上海晓庭茶餐厅）
艾狄士食品（上海）有限公司,北京办公室
艾狄士食品（上海）有限公司,棉花酒吧（上海丁氏茶餐厅）
艾狄士食品（上海）有限公司,玉理(上海)----意膳坊
艾狄士食品（上海）有限公司,上海赢盘实业有限公司
艾狄士食品（上海）有限公司,上海劲量餐饮管理有限公司(瓦之)
艾狄士食品（上海）有限公司,武汉香格里拉大饭店
艾狄士食品（上海）有限公司,上海恒乐餐饮有限公司猫头鹰成都
艾狄士食品（上海）有限公司,上海绿悠农业科技有限公司
